id,total_ms,cpu_encode_ms,gpu_ms,depth_key_ms,sort_ms,projection_ms,draw_ms,estimated_memory_bytes,estimated_bandwidth_gbps,visible_splats,total_splats,sort_mode
1,110.07797718048096,110.07797718048096,7.070499937981367,0.0,101.68695449829102,0.0,0.42307376861572266,45600000,6.449331786999327,100000,393216,radix
2,112.77401447296143,112.77401447296143,5.447625182569027,0.0,104.1250228881836,0.0,0.03910064697265625,45600000,8.370619943880877,100000,393216,radix
3,109.06004905700684,109.06004905700684,5.203749984502792,0.0,103.2400131225586,0.0,0.03802776336669922,45600000,8.76291138809525,100000,393216,radix
4,106.27293586730957,106.27198219299316,3.7787500768899918,0.0,101.8909215927124,0.0,0.030040740966796875,45600000,12.067482387596792,100000,393216,radix
5,108.1089973449707,108.1089973449707,5.904833320528269,0.0,101.67300701141357,0.0,0.025987625122070312,45600000,7.722487244723862,100000,393216,radix
6,105.71098327636719,105.71098327636719,3.757916623726487,0.0,101.50003433227539,0.0,0.03504753112792969,45600000,12.134383107941701,100000,393216,radix
7,106.58204555511475,106.58204555511475,4.258333472535014,0.0,101.59707069396973,0.0,0.026941299438476562,45600000,10.708414522748502,100000,393216,radix
8,106.09197616577148,106.09197616577148,4.063791828230023,0.0,101.47309303283691,0.0,0.026106834411621094,45600000,11.221047220782713,100000,393216,radix
9,107.68401622772217,107.68401622772217,5.295458482578397,0.0,101.97591781616211,0.0,0.02300739288330078,45600000,8.61115239596724,100000,393216,radix
10,107.74898529052734,107.74898529052734,5.245374981313944,0.0,102.12397575378418,0.0,0.027060508728027344,45600000,8.693372764091194,100000,393216,radix
