id,total_ms,cpu_encode_ms,gpu_ms,depth_key_ms,sort_ms,projection_ms,draw_ms,estimated_memory_bytes,estimated_bandwidth_gbps,visible_splats,total_splats,sort_mode
1,1773.3430862426758,1773.3430862426758,8.10345821082592,0.0,1762.8530263900757,0.0,0.45108795166015625,45600000,5.6272271434780885,100000,393216,cpu
2,1478.8140058517456,1478.8140058517456,3.553624963387847,0.0,1467.399001121521,0.0,0.12600421905517578,45600000,12.83196748948073,100000,393216,cpu
3,1481.3460111618042,1481.3460111618042,2.722750185057521,0.0,1475.932002067566,0.0,0.09906291961669922,45600000,16.747772252575075,100000,393216,cpu
4,1527.6719331741333,1527.6719331741333,3.4797918051481247,0.0,1521.003007888794,0.0,0.07998943328857422,45600000,13.104232251061049,100000,393216,cpu
5,2167.1310663223267,2167.1310663223267,5.155124934390187,0.0,2159.811019897461,0.0,0.07796287536621094,45600000,8.845566417954162,100000,393216,cpu
6,2071.202039718628,2071.202039718628,3.908291459083557,0.0,2058.1119060516357,0.0,0.08893013000488281,45600000,11.667502405435393,100000,393216,cpu
7,1867.097020149231,1867.097020149231,3.5227499902248383,0.0,1859.65895652771,0.0,0.07891654968261719,45600000,12.94443265248284,100000,393216,cpu
8,1852.207064628601,1852.207064628601,3.172874916344881,0.0,1846.7540740966797,0.0,0.09000301361083984,45600000,14.371824040429154,100000,393216,cpu
9,1964.279055595398,1964.279055595398,3.739125095307827,0.0,1956.9720029830933,0.0,0.08690357208251953,45600000,12.195366252180964,100000,393216,cpu
10,2290.045976638794,2290.045976638794,6.346333306282759,0.0,2280.3479433059692,0.0,0.1150369644165039,45600000,7.185251356851491,100000,393216,cpu
