id,total_ms,cpu_encode_ms,gpu_ms,depth_key_ms,sort_ms,projection_ms,draw_ms,estimated_memory_bytes,estimated_bandwidth_gbps,visible_splats,total_splats,sort_mode
1,11.177897453308105,11.177897453308105,9.128500008955598,0.1329183578491211,0.1270771026611328,0.0,0.4229545593261719,375901440,41.178883675436104,100000,393216,bitonic
2,10.644912719726562,10.644912719726562,10.014291619881988,0.019073486328125,0.14400482177734375,0.0,0.03504753112792969,375901440,37.5364982635117,100000,393216,bitonic
3,3.988027572631836,3.988027572631836,2.9697082936763763,0.012040138244628906,0.12493133544921875,0.0,0.01704692840576172,375901440,126.57857366005787,100000,393216,bitonic
4,3.5370588302612305,3.5370588302612305,3.1162500381469727,0.012040138244628906,0.10395050048828125,0.0,0.019073486328125,375901440,120.62621272313685,100000,393216,bitonic
5,3.145933151245117,3.145933151245117,2.7129165828227997,0.012040138244628906,0.10097026824951172,0.0,0.013947486877441406,375901440,138.5598961575417,100000,393216,bitonic
6,3.7910938262939453,3.7910938262939453,2.884958405047655,0.011086463928222656,0.10192394256591797,0.0,0.012040138244628906,375901440,130.29700509452948,100000,393216,bitonic
7,3.6879777908325195,3.6879777908325195,3.183000022545457,0.007987022399902344,0.102996826171875,0.0,0.010013580322265625,375901440,118.09658728792287,100000,393216,bitonic
8,4.055976867675781,4.055976867675781,3.6236250307410955,0.010967254638671875,0.10001659393310547,0.0,0.008940696716308594,375901440,103.73629633613649,100000,393216,bitonic
9,4.094958305358887,4.094958305358887,3.482624888420105,0.0059604644775390625,0.1100301742553711,0.0,0.010013580322265625,375901440,107.9362412098674,100000,393216,bitonic
10,3.133058547973633,3.133058547973633,2.7237499598413706,0.004887580871582031,0.10406970977783203,0.0,0.010013580322265625,375901440,138.00879138769855,100000,393216,bitonic
11,4.06801700592041,4.06801700592041,3.6516250111162663,0.0050067901611328125,0.10597705841064453,0.0,0.007033348083496094,375901440,102.94086573941243,100000,393216,bitonic
12,3.7610530853271484,3.7610530853271484,3.2373331487178802,0.010013580322265625,0.20599365234375,0.0,0.014066696166992188,375901440,116.1145370994248,100000,393216,bitonic
