id,total_ms,cpu_encode_ms,gpu_ms,depth_key_ms,sort_ms,projection_ms,draw_ms,estimated_memory_bytes,estimated_bandwidth_gbps,visible_splats,total_splats,sort_mode
1,60.682058334350586,60.682058334350586,12.473624898120761,0.0,46.61893844604492,0.0,0.3650188446044922,45600000,3.6557135854606275,100000,393216,tiled
2,53.936004638671875,53.936004638671875,3.3019999973475933,0.0,47.692060470581055,0.0,0.025987625122070312,45600000,13.809812246102132,100000,393216,tiled
3,50.588011741638184,50.588011741638184,3.6118749994784594,0.0,46.58699035644531,0.0,0.02205371856689453,45600000,12.625021631862802,100000,393216,tiled
4,50.52006244659424,50.52006244659424,3.252999857068062,0.0,46.491026878356934,0.0,0.010967254638671875,45600000,14.017830311587966,100000,393216,tiled
5,50.997018814086914,50.997018814086914,4.042374901473522,0.0,46.26607894897461,0.0,0.013947486877441406,45600000,11.280497507388029,100000,393216,tiled
6,54.04996871948242,54.04996871948242,6.653999909758568,0.0,46.769022941589355,0.0,0.027060508728027344,45600000,6.853020832345419,100000,393216,tiled
7,51.951050758361816,51.951050758361816,4.260916728526354,0.0,46.85795307159424,0.0,0.02002716064453125,45600000,10.701922357391586,100000,393216,tiled
8,55.21094799041748,55.21094799041748,7.579625118523836,0.0,46.92399501800537,0.0,0.025033950805664062,45600000,6.016128672189633,100000,393216,tiled
9,58.99703502655029,58.99703502655029,11.247416725382209,0.0,46.8900203704834,0.0,0.02396106719970703,45600000,4.054264291381132,100000,393216,tiled
10,53.45296859741211,53.45296859741211,5.441750166937709,0.0,47.18589782714844,0.0,0.026941299438476562,45600000,8.37965702230335,100000,393216,tiled
