id,total_ms,cpu_encode_ms,gpu_ms,depth_key_ms,sort_ms,draw_ms,estimated_memory_bytes,estimated_bandwidth_gbps,visible_splats,total_splats,sort_mode
1,12.545943260192871,12.545943260192871,10.818625101819634,0.2949237823486328,0.14102458953857422,0.41103363037109375,375901440,34.74576819717834,100000,393216,gpu
2,6.727933883666992,6.726980209350586,6.045541493222117,0.015974044799804688,0.1169443130493164,0.03600120544433594,375901440,62.17829129473963,100000,393216,gpu
3,3.975987434387207,3.975033760070801,3.155624959617853,0.012040138244628906,0.10204315185546875,0.01800060272216797,375901440,119.12107579651092,100000,393216,gpu
4,3.144979476928711,3.144979476928711,2.613333286717534,0.010013580322265625,0.10800361633300781,0.012040138244628906,375901440,143.83983930046264,100000,393216,gpu
5,3.4259557723999023,3.4259557723999023,2.9810001142323017,0.012993812561035156,0.10406970977783203,0.0209808349609375,375901440,126.09910284985214,100000,393216,gpu
6,3.711104393005371,3.711104393005371,3.197625046595931,0.0059604644775390625,0.19598007202148438,0.0209808349609375,375901440,117.55644721390028,100000,393216,gpu
7,3.3299922943115234,3.3299922943115234,2.9035001061856747,0.007987022399902344,0.11098384857177734,0.012040138244628906,375901440,129.46493068802445,100000,393216,gpu
8,3.408074378967285,3.408074378967285,2.9102915432304144,0.0050067901611328125,0.09799003601074219,0.007987022399902344,375901440,129.16281218435958,100000,393216,gpu
9,4.530906677246094,4.530906677246094,3.9812501054257154,0.0050067901611328125,0.09894371032714844,0.007987022399902344,375901440,94.41794161279019,100000,393216,gpu
10,4.051923751831055,4.051923751831055,3.5636250395327806,0.014066696166992188,0.10991096496582031,0.0400543212890625,375901440,105.48288212984485,100000,393216,gpu
